accepted,size,node,unit_price,offer,price
1,3688843703.000000,kubeadm-slave-2,653.874066,1000.000000,291.782578
1,3515908806.000000,kubeadm-slave-2,12.537577,1000.000000,5.332443
1,2841143162.000000,kubeadm-slave-4,534.348433,1000.000000,183.650725
1,2517833501.000000,kubeadm-slave-4,6.222432,1000.000000,1.895231
1,3022549443.000000,kubeadm-slave-3,470.460197,1000.000000,172.016968
1,2809868275.000000,kubeadm-slave-3,6.628353,1000.000000,2.253028
1,3567597178.000000,kubeadm-slave-1,807.156055,1000.000000,348.343981
1,2606625452.000000,kubeadm-slave-1,11.164582,1000.000000,3.520433
0,2953193908.000000,,,1000.000000,
0,3166764079.000000,,,1000.000000,
0,3816225770.000000,,,1000.000000,
0,3009373712.000000,,,1000.000000,
1,2563675689.000000,kubeadm-slave-4,69.179765,1000.000000,21.454439
0,3511608408.000000,,,1000.000000,
0,3236737993.000000,,,1000.000000,
0,2501012683.000000,,,1000.000000,
0,3819492512.000000,,,1000.000000,
0,3965570952.000000,,,1000.000000,
0,3620434472.000000,,,1000.000000,
0,3804331901.000000,,,1000.000000,
0,2620295139.000000,,,1000.000000,
0,3459663497.000000,,,1000.000000,
0,3797676576.000000,,,1000.000000,
0,3367967864.000000,,,1000.000000,
0,2944285431.000000,,,1000.000000,
1,2201402416.000000,kubeadm-slave-3,97.442549,1000.000000,25.949146
0,2868343671.000000,,,1000.000000,
0,3221773947.000000,,,1000.000000,
0,3826022106.000000,,,1000.000000,
0,3933212736.000000,,,1000.000000,
0,2954019553.000000,,,1000.000000,
0,3730619856.000000,,,1000.000000,
0,2520984621.000000,,,1000.000000,
0,3610055654.000000,,,1000.000000,
0,3097398608.000000,,,1000.000000,
1,2028083400.000000,kubeadm-slave-1,135.129274,1000.000000,33.152039
0,3439409373.000000,,,1000.000000,
0,2797647084.000000,,,1000.000000,
0,3649689954.000000,,,1000.000000,
0,3336306402.000000,,,1000.000000,
