accepted,size,node,unit_price,offer,price
1,2268728488.000000,kubeadm-slave-3,800.401923,1000.000000,219.667414
1,3694867474.000000,kubeadm-slave-3,3.222814,1000.000000,1.440486
1,3527549238.000000,kubeadm-slave-1,940.382596,1000.000000,401.284751
1,2510138051.000000,kubeadm-slave-1,10.744960,1000.000000,3.262702
1,2990870174.000000,kubeadm-slave-2,362.140360,1000.000000,131.023586
1,2898982130.000000,kubeadm-slave-2,6.430499,1000.000000,2.255097
1,3303185945.000000,kubeadm-slave-4,803.605392,1000.000000,321.107799
1,3577446702.000000,kubeadm-slave-4,9.680841,1000.000000,4.189491
1,2187719174.000000,kubeadm-slave-1,118.584152,1000.000000,31.382910
1,2056694953.000000,kubeadm-slave-3,110.470381,1000.000000,27.484682
0,3671530208.000000,,,1000.000000,
0,2865534136.000000,,,1000.000000,
0,3524560165.000000,,,1000.000000,
1,2004212107.000000,kubeadm-slave-2,102.946003,1000.000000,24.959056
0,2890774388.000000,,,1000.000000,
0,3443080065.000000,,,1000.000000,
0,2457524443.000000,,,1000.000000,
0,3890541391.000000,,,1000.000000,
0,3802854915.000000,,,1000.000000,
0,2061179966.000000,,,1000.000000,
0,2050891722.000000,,,1000.000000,
0,3082824946.000000,,,1000.000000,
0,3878298326.000000,,,1000.000000,
0,2762408475.000000,,,1000.000000,
0,2433198794.000000,,,1000.000000,
0,2844233151.000000,,,1000.000000,
0,2058081575.000000,,,1000.000000,
0,2443383333.000000,,,1000.000000,
0,2875775187.000000,,,1000.000000,
0,2991624483.000000,,,1000.000000,
0,2466168901.000000,,,1000.000000,
0,2461733083.000000,,,1000.000000,
0,2437562075.000000,,,1000.000000,
0,2919206931.000000,,,1000.000000,
0,2579563229.000000,,,1000.000000,
0,2042979411.000000,,,1000.000000,
0,3675155951.000000,,,1000.000000,
0,3112908645.000000,,,1000.000000,
0,3284588726.000000,,,1000.000000,
0,2371812532.000000,,,1000.000000,
