accepted,size,node,unit_price,offer,price
1,1844421852.000000,kubeadm-slave-4,970.675114,1000.000000,216.575409
1,1757954403.000000,kubeadm-slave-4,2.398161,1000.000000,0.509989
1,1420571581.000000,kubeadm-slave-4,12.888724,1000.000000,2.214869
1,1258916750.000000,kubeadm-slave-4,50.162355,1000.000000,7.639236
1,1511274721.000000,kubeadm-slave-1,973.221184,1000.000000,177.922127
1,1404934137.000000,kubeadm-slave-1,1.561549,1000.000000,0.265391
1,1783798589.000000,kubeadm-slave-1,5.987246,1000.000000,1.291956
1,1303312726.000000,kubeadm-slave-1,32.983410,1000.000000,5.200190
1,1476596954.000000,kubeadm-slave-1,114.749034,1000.000000,20.496797
1,1583382039.000000,kubeadm-slave-4,167.258178,1000.000000,32.036721
1,1908112885.000000,kubeadm-slave-2,1.088856,1000.000000,0.251333
1,1504686856.000000,kubeadm-slave-2,2.282546,1000.000000,0.415471
1,1281837844.000000,kubeadm-slave-2,9.627927,1000.000000,1.492935
1,1755804204.000000,kubeadm-slave-2,32.814415,1000.000000,6.969727
1,1618368997.000000,kubeadm-slave-2,175.996100,1000.000000,34.455264
1,1250506341.000000,kubeadm-slave-3,23.948811,1000.000000,3.622804
1,1909746256.000000,kubeadm-slave-3,1.216805,1000.000000,0.281107
1,1982785476.000000,kubeadm-slave-3,7.561598,1000.000000,1.813695
1,1810217236.000000,kubeadm-slave-3,50.390652,1000.000000,11.034576
1,1902165950.000000,kubeadm-master,10.071545,1000.000000,9.613373
1,1310147569.000000,kubeadm-slave-3,284.704229,1000.000000,45.122081
0,1729831748.000000,,,1000.000000,
0,1898838288.000000,,,1000.000000,
0,1683983932.000000,,,1000.000000,
0,1472142715.000000,,,1000.000000,
0,1100701208.000000,,,1000.000000,
0,1434171835.000000,,,1000.000000,
0,1610886973.000000,,,1000.000000,
0,1913011053.000000,,,1000.000000,
0,1966606368.000000,,,1000.000000,
0,1477009777.000000,,,1000.000000,
0,1865309928.000000,,,1000.000000,
0,1260492310.000000,,,1000.000000,
0,1805027827.000000,,,1000.000000,
0,1548699304.000000,,,1000.000000,
0,1014041700.000000,,,1000.000000,
0,1719704686.000000,,,1000.000000,
0,1398823542.000000,,,1000.000000,
0,1824844977.000000,,,1000.000000,
0,1668153201.000000,,,1000.000000,
