accepted,size,node,unit_price,offer,price
1,1134364244.000000,kubeadm-slave-4,760.665949,1000.000000,104.381010
1,1847433737.000000,kubeadm-slave-4,1.215875,1000.000000,0.271727
1,1763774619.000000,kubeadm-slave-4,7.118597,1000.000000,1.518842
1,1255069026.000000,kubeadm-slave-4,38.471935,1000.000000,5.840992
1,1495435087.000000,kubeadm-slave-4,127.807095,1000.000000,23.120516
1,1449491065.000000,kubeadm-slave-1,471.186052,1000.000000,82.619575
1,1651592973.000000,kubeadm-slave-1,1.471933,1000.000000,0.294080
1,1788723351.000000,kubeadm-slave-1,7.145496,1000.000000,1.546146
1,1093859587.000000,kubeadm-slave-1,39.550029,1000.000000,5.233393
1,1028347477.000000,kubeadm-slave-1,112.611887,1000.000000,14.008741
1,1835765104.000000,kubeadm-slave-3,996.981050,1000.000000,221.400707
1,1432767068.000000,kubeadm-slave-3,2.129919,1000.000000,0.369159
1,1762280082.000000,kubeadm-slave-3,8.386827,1000.000000,1.787918
1,1002106053.000000,kubeadm-slave-3,45.261238,1000.000000,5.486749
1,1445387194.000000,kubeadm-slave-3,118.044405,1000.000000,20.639758
1,1721540032.000000,kubeadm-slave-2,827.646306,1000.000000,172.360163
1,1228762221.000000,kubeadm-slave-2,1.909453,1000.000000,0.283826
1,1945270696.000000,kubeadm-slave-2,6.185730,1000.000000,1.455613
1,1901427458.000000,kubeadm-slave-2,39.768762,1000.000000,9.147382
1,1030589983.000000,kubeadm-slave-1,301.165385,1000.000000,37.546198
1,1025445861.000000,kubeadm-slave-2,245.176450,1000.000000,30.413505
1,1541412473.000000,kubeadm-master,697.859850,1000.000000,539.782005
0,1939149163.000000,,,1000.000000,
0,1381204238.000000,,,1000.000000,
0,1216599397.000000,,,1000.000000,
0,1422116576.000000,,,1000.000000,
0,1029040788.000000,,,1000.000000,
0,1221691666.000000,,,1000.000000,
0,1437887594.000000,,,1000.000000,
0,1495812241.000000,,,1000.000000,
0,1233084450.000000,,,1000.000000,
0,1230866542.000000,,,1000.000000,
0,1218781037.000000,,,1000.000000,
0,1459603466.000000,,,1000.000000,
0,1289781615.000000,,,1000.000000,
0,1021489705.000000,,,1000.000000,
0,1837577976.000000,,,1000.000000,
0,1556454323.000000,,,1000.000000,
0,1642294363.000000,,,1000.000000,
0,1185906266.000000,,,1000.000000,
