accepted,size,node,unit_price,offer,price
1,7377687406.000000,kubeadm-slave-1,961.394249,1000.000000,858.018712
1,7031817612.000000,kubeadm-slave-4,296.580080,1000.000000,252.281012
1,5682286323.000000,kubeadm-slave-3,790.109876,1000.000000,543.107241
1,5035667001.000000,kubeadm-slave-2,700.240850,1000.000000,426.559320
0,6045098885.000000,,,1000.000000,
0,5619736550.000000,,,1000.000000,
0,7135194356.000000,,,1000.000000,
0,5213250904.000000,,,1000.000000,
0,5906387817.000000,,,1000.000000,
0,6333528158.000000,,,1000.000000,
0,7632451541.000000,,,1000.000000,
0,6018747423.000000,,,1000.000000,
0,5127351378.000000,,,1000.000000,
0,7023216817.000000,,,1000.000000,
0,6473475987.000000,,,1000.000000,
0,5002025365.000000,,,1000.000000,
0,7638985024.000000,,,1000.000000,
0,7931141904.000000,,,1000.000000,
0,7240868944.000000,,,1000.000000,
0,7608663802.000000,,,1000.000000,
0,5240590277.000000,,,1000.000000,
0,6919326993.000000,,,1000.000000,
0,7595353152.000000,,,1000.000000,
0,6735935728.000000,,,1000.000000,
0,5888570862.000000,,,1000.000000,
0,4402804832.000000,,,1000.000000,
0,5736687342.000000,,,1000.000000,
0,6443547894.000000,,,1000.000000,
0,7652044213.000000,,,1000.000000,
0,7866425471.000000,,,1000.000000,
0,5908039106.000000,,,1000.000000,
0,7461239711.000000,,,1000.000000,
0,5041969242.000000,,,1000.000000,
0,7220111308.000000,,,1000.000000,
0,6194797215.000000,,,1000.000000,
0,4056166801.000000,,,1000.000000,
0,6878818746.000000,,,1000.000000,
0,5595294169.000000,,,1000.000000,
0,7299379909.000000,,,1000.000000,
0,6672612805.000000,,,1000.000000,
