accepted,size,node,unit_price,offer,price
1,567182122.000000,kubeadm-slave-2,522.189832,1000.000000,35.828278
1,923716868.000000,kubeadm-slave-1,856.714624,1000.000000,95.730438
1,881887309.000000,kubeadm-slave-4,577.794418,1000.000000,61.639829
1,627534513.000000,kubeadm-slave-4,1.000000,1000.000000,0.075912
1,747717544.000000,kubeadm-slave-4,1.740622,1000.000000,0.157441
1,724745532.000000,kubeadm-slave-4,3.559093,1000.000000,0.312033
1,825796486.000000,kubeadm-slave-4,7.119189,1000.000000,0.711178
1,894361676.000000,kubeadm-slave-4,15.685657,1000.000000,1.697035
1,546929793.000000,kubeadm-slave-4,36.902853,1000.000000,2.441555
1,514173738.000000,kubeadm-slave-4,62.269970,1000.000000,3.873143
1,917882552.000000,kubeadm-slave-4,101.833124,1000.000000,11.307098
1,716383534.000000,kubeadm-slave-4,245.029229,1000.000000,21.234326
1,881140041.000000,kubeadm-slave-2,1.000000,1000.000000,0.106591
1,501053027.000000,kubeadm-slave-2,1.470288,1000.000000,0.089117
1,722693597.000000,kubeadm-slave-4,486.222616,1000.000000,42.507381
1,860770016.000000,kubeadm-slave-2,2.374443,1000.000000,0.247243
1,614381111.000000,kubeadm-slave-2,5.409580,1000.000000,0.402047
1,972635348.000000,kubeadm-slave-2,9.736537,1000.000000,1.145591
1,950713729.000000,kubeadm-slave-2,24.687668,1000.000000,2.839258
1,515294992.000000,kubeadm-slave-2,61.298298,1000.000000,3.821020
1,512722930.000000,kubeadm-slave-2,100.351680,1000.000000,6.224183
1,770706236.000000,kubeadm-slave-2,163.882404,1000.000000,15.279044
1,969574581.000000,kubeadm-slave-1,1.000000,1000.000000,0.117289
1,690602119.000000,kubeadm-slave-1,2.250413,1000.000000,0.188003
1,608299699.000000,kubeadm-slave-1,4.356811,1000.000000,0.320598
1,711058288.000000,kubeadm-slave-1,7.796203,1000.000000,0.670600
1,514520394.000000,kubeadm-slave-1,15.391752,1000.000000,0.958000
1,610845833.000000,kubeadm-slave-1,25.179233,1000.000000,1.860583
1,718943797.000000,kubeadm-slave-1,45.166324,1000.000000,3.928119
1,747906121.000000,kubeadm-slave-1,89.845361,1000.000000,8.128637
1,616542225.000000,kubeadm-slave-1,183.742148,1000.000000,13.703976
1,615433271.000000,kubeadm-slave-1,331.396240,1000.000000,24.671953
1,609390519.000000,kubeadm-slave-3,692.065206,1000.000000,51.017327
1,729801733.000000,kubeadm-slave-2,342.544998,1000.000000,30.241095
1,644890807.000000,kubeadm-slave-3,1.000000,1000.000000,0.078012
1,510744853.000000,kubeadm-slave-1,597.070555,1000.000000,36.889659
1,918788988.000000,kubeadm-slave-3,1.221207,1000.000000,0.135731
1,778227161.000000,kubeadm-slave-3,2.940997,1000.000000,0.276870
1,821147181.000000,kubeadm-slave-3,6.191622,1000.000000,0.615036
1,592953133.000000,kubeadm-slave-3,13.581418,1000.000000,0.974183
